SST(°C) mean stdv
5.460000 0.282833 0.086655
5.470000 0.283159 0.086653
5.480000 0.283485 0.086650
5.490000 0.283811 0.086647
5.500000 0.284136 0.086644
5.510000 0.284462 0.086640
5.520000 0.284787 0.086637
5.530000 0.285113 0.086632
5.540000 0.285438 0.086606
5.550000 0.285763 0.086557
5.560000 0.286088 0.086507
5.570000 0.286412 0.086458
5.580000 0.286737 0.086409
5.590000 0.287062 0.086376
5.600000 0.287386 0.086372
5.610000 0.287710 0.086368
5.620000 0.288034 0.086363
5.630000 0.288359 0.086359
5.640000 0.288682 0.086354
5.650000 0.289006 0.086349
5.660000 0.289330 0.086344
5.670000 0.289653 0.086339
5.680000 0.289977 0.086333
5.690000 0.290300 0.086328
5.700000 0.290623 0.086322
5.710000 0.290946 0.086316
5.720000 0.291269 0.086310
5.730000 0.291592 0.086304
5.740000 0.291914 0.086297
5.750000 0.292237 0.086284
5.760000 0.292559 0.086237
5.770000 0.292881 0.086190
5.780000 0.293204 0.086143
5.790000 0.293526 0.086099
5.800000 0.293847 0.086087
5.810000 0.294169 0.086081
5.820000 0.294491 0.086075
5.830000 0.294812 0.086069
5.840000 0.295133 0.086063
5.850000 0.295454 0.086057
5.860000 0.295776 0.086040
5.870000 0.296096 0.085993
5.880000 0.296417 0.085969
5.890000 0.296738 0.085963
5.900000 0.297058 0.085957
5.910000 0.297379 0.085952
5.920000 0.297699 0.085934
5.930000 0.298019 0.085887
5.940000 0.298339 0.085882
5.950000 0.298659 0.085876
5.960000 0.298978 0.085871
5.970000 0.299298 0.085865
5.980000 0.299617 0.085860
5.990000 0.299936 0.085855
6.000000 0.300256 0.085850
6.010000 0.300575 0.085846
6.020000 0.300893 0.085828
6.030000 0.301212 0.085781
6.040000 0.301531 0.085767
6.050000 0.301849 0.085762
6.060000 0.302167 0.085758
6.070000 0.302485 0.085721
6.080000 0.302803 0.085678
6.090000 0.303121 0.085674
6.100000 0.303439 0.085671
6.110000 0.303757 0.085667
6.120000 0.304074 0.085665
6.130000 0.304391 0.085658
6.140000 0.304708 0.085610
6.150000 0.305025 0.085572
6.160000 0.305342 0.085570
6.170000 0.305659 0.085553
6.180000 0.305976 0.085504
6.190000 0.306292 0.085456
6.200000 0.306608 0.085407
6.210000 0.306924 0.085359
6.220000 0.307240 0.085310
6.230000 0.307556 0.085262
6.240000 0.307872 0.085213
6.250000 0.308188 0.085165
6.260000 0.308503 0.085127
6.270000 0.308818 0.085078
6.280000 0.309133 0.085061
6.290000 0.309448 0.085058
6.300000 0.309763 0.085055
6.310000 0.310078 0.085046
6.320000 0.310392 0.085043
6.330000 0.310707 0.085041
6.340000 0.311021 0.085039
6.350000 0.311335 0.085005
6.360000 0.311649 0.084987
6.370000 0.311963 0.084985
6.380000 0.312276 0.084984
6.390000 0.312590 0.084983
6.400000 0.312903 0.084982
6.410000 0.313217 0.084982
6.420000 0.313530 0.084982
6.430000 0.313842 0.084983
6.440000 0.314155 0.084984
6.450000 0.314468 0.084985
6.460000 0.314780 0.084966
6.470000 0.315093 0.084968
6.480000 0.315405 0.084970
6.490000 0.315717 0.084973
6.500000 0.316029 0.084976
6.510000 0.316340 0.084966
6.520000 0.316652 0.084961
6.530000 0.316963 0.084965
6.540000 0.317274 0.084970
6.550000 0.317586 0.084970
6.560000 0.317897 0.084973
6.570000 0.318207 0.084979
6.580000 0.318518 0.084937
6.590000 0.318828 0.084890
6.600000 0.319139 0.084896
6.610000 0.319449 0.084902
6.620000 0.319759 0.084909
6.630000 0.320069 0.084916
6.640000 0.320379 0.084878
6.650000 0.320688 0.084819
6.660000 0.320998 0.084780
6.670000 0.321307 0.084787
6.680000 0.321616 0.084794
